category_id,date,hour,num_sells_in_hour
8940,2018-05-25,08,16
8940,2018-05-25,09,22
8940,2018-05-25,10,15
8940,2018-05-25,11,24
8940,2018-05-25,12,22
8940,2018-05-25,13,28
8940,2018-05-25,14,21
8940,2018-05-25,15,16
8940,2018-05-25,16,22
8940,2018-05-25,17,31
8940,2018-05-25,18,25
8940,2018-05-25,19,40
8940,2018-05-25,20,13
8940,2018-05-26,04,4
8940,2018-05-26,05,15
8940,2018-05-26,06,15
8940,2018-05-26,07,22
8940,2018-05-26,08,27
8940,2018-05-26,09,30
8940,2018-05-26,10,16
8940,2018-05-26,11,21
8940,2018-05-26,12,17
8940,2018-05-26,13,16
8940,2018-05-26,14,24
8940,2018-05-26,15,15
8940,2018-05-26,16,17
8940,2018-05-26,17,20
8940,2018-05-26,18,17
8940,2018-05-26,19,29
8940,2018-05-26,20,26
8940,2018-05-27,04,1
8940,2018-05-27,05,6
8940,2018-05-27,06,23
8940,2018-05-27,07,22
8940,2018-05-27,08,23
8940,2018-05-27,09,23
8940,2018-05-27,10,30
8940,2018-05-27,11,21
8940,2018-05-27,12,22
8940,2018-05-27,13,22
8940,2018-05-27,14,15
8940,2018-05-27,15,17
8940,2018-05-27,16,22
8940,2018-05-27,17,27
8940,2018-05-27,18,36
8940,2018-05-27,19,22
8940,2018-05-27,20,17
8940,2018-05-28,04,6
8940,2018-05-28,05,5
8940,2018-05-28,06,11
8940,2018-05-28,07,26
8940,2018-05-28,08,22
8940,2018-05-28,09,26
8940,2018-05-28,10,25
8940,2018-05-28,11,17
8940,2018-05-28,12,20
8940,2018-05-28,13,20
8940,2018-05-28,14,23
8940,2018-05-28,15,19
8940,2018-05-28,16,21
8940,2018-05-28,17,18
8940,2018-05-28,18,19
8940,2018-05-28,19,33
8940,2018-05-28,20,19
8940,2018-05-29,04,4
8940,2018-05-29,05,11
8940,2018-05-29,06,10
8940,2018-05-29,07,31
8940,2018-05-29,08,21
8940,2018-05-29,09,19
8940,2018-05-29,10,27
8940,2018-05-29,11,17
8940,2018-05-29,12,15
8940,2018-05-29,13,15
8940,2018-05-29,14,16
8940,2018-05-29,15,20
8940,2018-05-29,16,17
8940,2018-05-29,17,10
8940,2018-05-29,18,18
8940,2018-05-29,19,18
8940,2018-05-29,20,17
8940,2018-05-30,04,3
8940,2018-05-30,05,12
8940,2018-05-30,06,16
8940,2018-05-30,07,23
8940,2018-05-30,08,23
8940,2018-05-30,09,27
8940,2018-05-30,10,20
8940,2018-05-30,11,20
8940,2018-05-30,12,28
8940,2018-05-30,13,31
8940,2018-05-30,14,14
8940,2018-05-30,15,9
8940,2018-05-30,16,32
8940,2018-05-30,17,17
8940,2018-05-30,18,36
8940,2018-05-30,19,19
8940,2018-05-30,20,19
8940,2018-05-31,04,6
8940,2018-05-31,05,11
8940,2018-05-31,06,3
8940,2018-05-31,07,9
8940,2018-05-31,08,26
8940,2018-05-31,09,26
8940,2018-05-31,10,26
8940,2018-05-31,11,31
8940,2018-05-31,12,19
8940,2018-05-31,13,24
8940,2018-05-31,14,22
8940,2018-05-31,15,15
8940,2018-05-31,16,33
8940,2018-05-31,17,13
8940,2018-05-31,18,27
8940,2018-05-31,19,26
8940,2018-05-31,20,28
8940,2018-06-01,04,3
8940,2018-06-01,05,12
8940,2018-06-01,06,10
8940,2018-06-01,07,26
8940,2018-06-01,08,16
8940,2018-06-01,09,19
8940,2018-06-01,10,19
8940,2018-06-01,11,20
8940,2018-06-01,12,19
8940,2018-06-01,13,20
8940,2018-06-01,14,16
8940,2018-06-01,15,19
8940,2018-06-01,16,23
8940,2018-06-01,17,27
8940,2018-06-01,18,23
8940,2018-06-01,19,28
8940,2018-06-01,20,22
8940,2018-06-02,04,4
8940,2018-06-02,05,4
8940,2018-06-02,06,19
8940,2018-06-02,07,33
8940,2018-06-02,08,22
8940,2018-06-02,09,22
8940,2018-06-02,10,29
8940,2018-06-02,11,15
8940,2018-06-02,12,20
8940,2018-06-02,13,22
8940,2018-06-02,14,22
8940,2018-06-02,15,17
8940,2018-06-02,16,18
8940,2018-06-02,17,29
8940,2018-06-02,18,25
8940,2018-06-02,19,20
8940,2018-06-02,20,25
8940,2018-06-03,04,7
8940,2018-06-03,05,18
8940,2018-06-03,06,23
8940,2018-06-03,07,13
8940,2018-06-03,08,22
8940,2018-06-03,09,31
8940,2018-06-03,10,18
8940,2018-06-03,11,28
8940,2018-06-03,12,23
8940,2018-06-03,13,20
8940,2018-06-03,14,16
8940,2018-06-03,15,24
8940,2018-06-03,16,29
8940,2018-06-03,17,28
8940,2018-06-03,18,25
8940,2018-06-03,19,22
8940,2018-06-03,20,31
8940,2018-06-04,04,5
8940,2018-06-04,05,14
8940,2018-06-04,06,16
8940,2018-06-04,07,21
8940,2018-06-04,08,20
8940,2018-06-04,09,20
8940,2018-06-04,10,21
8940,2018-06-04,11,17
8940,2018-06-04,12,23
8940,2018-06-04,13,18
8940,2018-06-04,14,20
8940,2018-06-04,15,27
8940,2018-06-04,16,30
8940,2018-06-04,17,20
8940,2018-06-04,18,38
8940,2018-06-04,19,26
8940,2018-06-04,20,24
8940,2018-06-05,04,4
8940,2018-06-05,05,10
8940,2018-06-05,06,15
8940,2018-06-05,07,21
8940,2018-06-05,08,20
8940,2018-06-05,09,27
8940,2018-06-05,10,25
8940,2018-06-05,11,17
8940,2018-06-05,12,17
8940,2018-06-05,13,10
8940,2018-06-05,14,16
8940,2018-06-05,15,18
8940,2018-06-05,16,14
8940,2018-06-05,17,14
8940,2018-06-05,18,24
8940,2018-06-05,19,23
8940,2018-06-05,20,15
8940,2018-06-06,05,4
8940,2018-06-06,06,10
8940,2018-06-06,07,18
8940,2018-06-06,08,18
8940,2018-06-06,09,13
8940,2018-06-06,10,27
8940,2018-06-06,11,12
8940,2018-06-06,12,18
8940,2018-06-06,13,16
8940,2018-06-06,14,20
8940,2018-06-06,15,13
8940,2018-06-06,16,22
8940,2018-06-06,17,22
8940,2018-06-06,18,22
8940,2018-06-06,19,26
8940,2018-06-06,20,18
8940,2018-06-07,04,9
8940,2018-06-07,05,10
8940,2018-06-07,06,21
8940,2018-06-07,07,22
8940,2018-06-07,08,21
8940,2018-06-07,09,26
8940,2018-06-07,10,17
8940,2018-06-07,11,21
8940,2018-06-07,12,20
8940,2018-06-07,13,23
8940,2018-06-07,14,21
8940,2018-06-07,15,15
8940,2018-06-07,16,16
8940,2018-06-07,17,26
8940,2018-06-07,18,30
